  18751.010          3  4            1.1804      97492.31    102823.90
  19445.562          4  8            0.0141     102823.90    107965.06
  21655.290          4  7            0.3211     102823.90    107440.45
  23149.513          5  40          -2.1252     105291.66    109610.22
  23168.613          5  39          -2.0911     105291.66    109606.66
  23189.278          5  38          -2.0562     105291.66    109602.82
  23211.682          5  37          -2.0202     105291.66    109598.66
  23236.027          5  36          -1.9832     105291.66    109594.14
  23262.547          5  35          -1.9451     105291.66    109589.24
  23291.510          5  34          -1.9057     105291.66    109583.89
  23323.228          5  33          -1.8651     105291.66    109578.06
  23358.066          5  32          -1.8232     105291.66    109571.66
  23396.449          5  31          -1.7798     105291.66    109564.64
  23438.881          5  30          -1.7347     105291.66    109556.91
  23485.957          5  29          -1.6881     105291.66    109548.36
  23538.387          5  28          -1.6395     105291.66    109538.88
  23597.027          5  27          -1.5890     105291.66    109528.32
  23662.909          5  26          -1.5363     105291.66    109516.53
  23737.293          5  25          -1.4813     105291.66    109503.29
  23821.730          5  24          -1.4236     105291.66    109488.36
  23918.148          5  23          -1.3631     105291.66    109471.44
